Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='protein_3', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=606, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 42, loss: 2.829494, train acc: 0.140825, train avg acc: 0.089390
Test 42, loss: 2.931067, test acc: 0.099000, test avg acc: 0.066443
Train 43, loss: 2.820065, train acc: 0.152644, train avg acc: 0.097707
Test 43, loss: 3.095870, test acc: 0.078000, test avg acc: 0.052987
Train 44, loss: 2.816084, train acc: 0.152644, train avg acc: 0.098869
Test 44, loss: 2.969593, test acc: 0.088000, test avg acc: 0.057492
Train 45, loss: 2.811104, train acc: 0.150140, train avg acc: 0.096668
Test 45, loss: 3.015419, test acc: 0.084500, test avg acc: 0.054471
Train 46, loss: 2.809491, train acc: 0.153646, train avg acc: 0.098569
Test 46, loss: 3.045708, test acc: 0.069000, test avg acc: 0.052205
Train 47, loss: 2.807235, train acc: 0.160156, train avg acc: 0.104006
Test 47, loss: 2.966327, test acc: 0.090500, test avg acc: 0.061784
Train 48, loss: 2.790116, train acc: 0.166466, train avg acc: 0.108514
Test 48, loss: 3.036936, test acc: 0.085500, test avg acc: 0.058111
Train 49, loss: 2.791574, train acc: 0.165465, train avg acc: 0.107854
Test 49, loss: 3.138159, test acc: 0.083500, test avg acc: 0.054470
Train 50, loss: 2.782290, train acc: 0.169471, train avg acc: 0.110930
Test 50, loss: 3.027573, test acc: 0.084500, test avg acc: 0.057774
Train 51, loss: 2.779816, train acc: 0.173377, train avg acc: 0.113922
Test 51, loss: 3.055513, test acc: 0.068500, test avg acc: 0.054552
Train 52, loss: 2.767967, train acc: 0.177985, train avg acc: 0.117254
Test 52, loss: 3.566344, test acc: 0.088000, test avg acc: 0.048761
Train 53, loss: 2.751652, train acc: 0.184295, train avg acc: 0.121710
Test 53, loss: 3.330288, test acc: 0.085000, test avg acc: 0.051789
Train 54, loss: 2.757899, train acc: 0.185397, train avg acc: 0.123113
Test 54, loss: 2.997350, test acc: 0.089000, test avg acc: 0.053840
Train 55, loss: 2.737412, train acc: 0.194010, train avg acc: 0.129590
Test 55, loss: 3.240858, test acc: 0.075000, test avg acc: 0.056239
Train 56, loss: 2.734268, train acc: 0.196715, train avg acc: 0.132246
Test 56, loss: 3.332518, test acc: 0.095500, test avg acc: 0.057388
Train 57, loss: 2.720055, train acc: 0.206030, train avg acc: 0.138929
Test 57, loss: 3.072660, test acc: 0.078000, test avg acc: 0.055542
Train 58, loss: 2.714774, train acc: 0.203726, train avg acc: 0.137813
Test 58, loss: 3.097952, test acc: 0.093500, test avg acc: 0.061779
Train 59, loss: 2.699692, train acc: 0.209936, train avg acc: 0.142041
Test 59, loss: 3.435289, test acc: 0.097500, test avg acc: 0.056396
Train 60, loss: 2.697288, train acc: 0.219351, train avg acc: 0.149845
Test 60, loss: 3.605056, test acc: 0.079500, test avg acc: 0.051475
Train 61, loss: 2.680816, train acc: 0.229067, train avg acc: 0.156593
Test 61, loss: 3.802063, test acc: 0.086000, test avg acc: 0.053866
Train 62, loss: 2.671095, train acc: 0.231070, train avg acc: 0.159285
Test 62, loss: 3.880373, test acc: 0.083500, test avg acc: 0.052815
Train 63, loss: 2.653167, train acc: 0.241486, train avg acc: 0.168287
Test 63, loss: 3.200901, test acc: 0.078500, test avg acc: 0.057329
Train 64, loss: 2.650827, train acc: 0.239283, train avg acc: 0.167077
Test 64, loss: 3.178696, test acc: 0.084500, test avg acc: 0.062559
