Using GPU : 0 from 3 devices
Train 44, loss: 2.901587, train acc: 0.111178, train avg acc: 0.070474
Test 44, loss: 2.912850, test acc: 0.072000, test avg acc: 0.050871
Train 45, loss: 2.898089, train acc: 0.106470, train avg acc: 0.068304
Test 45, loss: 2.993646, test acc: 0.063000, test avg acc: 0.057189
Train 46, loss: 2.898991, train acc: 0.107572, train avg acc: 0.068395
Test 46, loss: 2.910256, test acc: 0.115000, test avg acc: 0.052803
Train 47, loss: 2.897317, train acc: 0.109575, train avg acc: 0.069370
Test 47, loss: 3.107708, test acc: 0.043000, test avg acc: 0.051991
Train 48, loss: 2.897116, train acc: 0.103666, train avg acc: 0.065895
Test 48, loss: 3.551616, test acc: 0.039500, test avg acc: 0.052334
Train 49, loss: 2.892660, train acc: 0.105569, train avg acc: 0.068240
Test 49, loss: 2.911635, test acc: 0.087000, test avg acc: 0.048179
Train 50, loss: 2.896400, train acc: 0.110777, train avg acc: 0.070168
Test 50, loss: 2.982192, test acc: 0.060000, test avg acc: 0.056929
Train 51, loss: 2.894986, train acc: 0.106771, train avg acc: 0.068600
Test 51, loss: 3.049889, test acc: 0.053500, test avg acc: 0.060410
Train 52, loss: 2.894510, train acc: 0.109976, train avg acc: 0.070046
Test 52, loss: 2.986745, test acc: 0.053000, test avg acc: 0.046827
Train 53, loss: 2.893756, train acc: 0.111779, train avg acc: 0.071415
Test 53, loss: 3.217228, test acc: 0.040000, test avg acc: 0.050552
Train 54, loss: 2.890779, train acc: 0.108874, train avg acc: 0.069480
Test 54, loss: 3.023981, test acc: 0.057500, test avg acc: 0.055304
Train 55, loss: 2.895168, train acc: 0.107973, train avg acc: 0.069052
Test 55, loss: 2.930371, test acc: 0.097000, test avg acc: 0.051444
Train 56, loss: 2.890282, train acc: 0.110677, train avg acc: 0.071277
Test 56, loss: 3.185398, test acc: 0.051500, test avg acc: 0.054964
Train 57, loss: 2.885140, train acc: 0.118890, train avg acc: 0.076561
Test 57, loss: 2.925318, test acc: 0.094000, test avg acc: 0.060508
Train 58, loss: 2.891553, train acc: 0.108874, train avg acc: 0.069143
Test 58, loss: 2.996432, test acc: 0.064000, test avg acc: 0.055192
Train 59, loss: 2.886774, train acc: 0.112981, train avg acc: 0.072698
Test 59, loss: 2.976080, test acc: 0.070000, test avg acc: 0.054349
Train 60, loss: 2.888252, train acc: 0.109675, train avg acc: 0.068915
Test 60, loss: 3.869525, test acc: 0.040500, test avg acc: 0.048703
Train 61, loss: 2.883469, train acc: 0.116587, train avg acc: 0.074775
Test 61, loss: 2.885751, test acc: 0.091500, test avg acc: 0.057076
Train 62, loss: 2.884064, train acc: 0.113482, train avg acc: 0.072643
Test 62, loss: 2.925721, test acc: 0.074500, test avg acc: 0.054446
Train 63, loss: 2.880637, train acc: 0.112079, train avg acc: 0.071987
Test 63, loss: 3.549603, test acc: 0.042000, test avg acc: 0.050344
Train 64, loss: 2.881446, train acc: 0.111579, train avg acc: 0.070797
Test 64, loss: 3.192682, test acc: 0.047500, test avg acc: 0.050610
Train 65, loss: 2.881660, train acc: 0.113882, train avg acc: 0.073589
Test 65, loss: 3.007786, test acc: 0.068500, test avg acc: 0.059399
Train 66, loss: 2.878386, train acc: 0.116987, train avg acc: 0.075011
Test 66, loss: 2.916869, test acc: 0.072000, test avg acc: 0.048460
Train 67, loss: 2.877867, train acc: 0.115585, train avg acc: 0.074383
Test 67, loss: 3.023176, test acc: 0.077500, test avg acc: 0.065227
Train 68, loss: 2.878353, train acc: 0.115585, train avg acc: 0.073157
Test 68, loss: 3.044885, test acc: 0.074500, test avg acc: 0.056827
Train 69, loss: 2.874838, train acc: 0.113982, train avg acc: 0.073446
Test 69, loss: 3.312049, test acc: 0.044500, test avg acc: 0.052048
Train 70, loss: 2.871087, train acc: 0.120092, train avg acc: 0.077776
Test 70, loss: 2.950119, test acc: 0.066000, test avg acc: 0.058918
Train 71, loss: 2.870829, train acc: 0.119692, train avg acc: 0.077464
Test 71, loss: 2.944847, test acc: 0.101000, test avg acc: 0.051875
Train 72, loss: 2.869276, train acc: 0.119191, train avg acc: 0.076501
Test 72, loss: 3.270496, test acc: 0.071500, test avg acc: 0.059673
Train 73, loss: 2.868556, train acc: 0.121094, train avg acc: 0.077510
Test 73, loss: 2.943854, test acc: 0.092500, test avg acc: 0.064167
Train 74, loss: 2.864530, train acc: 0.121995, train avg acc: 0.078426
Test 74, loss: 3.665215, test acc: 0.035500, test avg acc: 0.049488
Train 75, loss: 2.867172, train acc: 0.120793, train avg acc: 0.077678
Test 75, loss: 3.206558, test acc: 0.039000, test avg acc: 0.051602
Train 76, loss: 2.862193, train acc: 0.120893, train avg acc: 0.077671
Test 76, loss: 2.984302, test acc: 0.106500, test avg acc: 0.057278
Train 77, loss: 2.860538, train acc: 0.126002, train avg acc: 0.080472
Test 77, loss: 3.174310, test acc: 0.062500, test avg acc: 0.056747
Train 78, loss: 2.855276, train acc: 0.131310, train avg acc: 0.085083
Test 78, loss: 3.699205, test acc: 0.046500, test avg acc: 0.052834
Train 79, loss: 2.856819, train acc: 0.123598, train avg acc: 0.079827
Test 79, loss: 2.939448, test acc: 0.075500, test avg acc: 0.049848
Train 80, loss: 2.859824, train acc: 0.120393, train avg acc: 0.078392
Test 80, loss: 2.935665, test acc: 0.086000, test avg acc: 0.060418
Train 81, loss: 2.856249, train acc: 0.128305, train avg acc: 0.082232
Test 81, loss: 3.876359, test acc: 0.035000, test avg acc: 0.049793
Train 82, loss: 2.852332, train acc: 0.129006, train avg acc: 0.082725
Test 82, loss: 3.175145, test acc: 0.051500, test avg acc: 0.054126
Train 83, loss: 2.847483, train acc: 0.127404, train avg acc: 0.082739
Test 83, loss: 3.222695, test acc: 0.056000, test avg acc: 0.065025
Train 84, loss: 2.849898, train acc: 0.133313, train avg acc: 0.086094
Test 84, loss: 3.530975, test acc: 0.040000, test avg acc: 0.052037
Train 85, loss: 2.846166, train acc: 0.132212, train avg acc: 0.085180
Test 85, loss: 3.185963, test acc: 0.049000, test avg acc: 0.053345
Train 86, loss: 2.843613, train acc: 0.137921, train avg acc: 0.088902
Test 86, loss: 2.980078, test acc: 0.062500, test avg acc: 0.060347
Train 87, loss: 2.835503, train acc: 0.132712, train avg acc: 0.085746
Test 87, loss: 3.835324, test acc: 0.035000, test avg acc: 0.049825
Train 88, loss: 2.840143, train acc: 0.135417, train avg acc: 0.088685
Test 88, loss: 2.955425, test acc: 0.074500, test avg acc: 0.050057
Train 89, loss: 2.834214, train acc: 0.139523, train avg acc: 0.090555
Test 89, loss: 2.921659, test acc: 0.108000, test avg acc: 0.056629
Train 90, loss: 2.833182, train acc: 0.140425, train avg acc: 0.090780
Test 90, loss: 3.067675, test acc: 0.077000, test avg acc: 0.055151
Train 91, loss: 2.834118, train acc: 0.136118, train avg acc: 0.088351
Test 91, loss: 3.062477, test acc: 0.071500, test avg acc: 0.062941
Train 92, loss: 2.826453, train acc: 0.139022, train avg acc: 0.089657
Test 92, loss: 2.992675, test acc: 0.079500, test avg acc: 0.056095
Train 93, loss: 2.819410, train acc: 0.140825, train avg acc: 0.091837
Test 93, loss: 2.937512, test acc: 0.091500, test avg acc: 0.056474
Train 94, loss: 2.823138, train acc: 0.144631, train avg acc: 0.094243
Test 94, loss: 3.039201, test acc: 0.066500, test avg acc: 0.056936
Train 95, loss: 2.822749, train acc: 0.143129, train avg acc: 0.092003
Test 95, loss: 2.982608, test acc: 0.076000, test avg acc: 0.058048
Train 96, loss: 2.814593, train acc: 0.148538, train avg acc: 0.096140
Test 96, loss: 3.187402, test acc: 0.059500, test avg acc: 0.058059
Train 97, loss: 2.817901, train acc: 0.150942, train avg acc: 0.099020
Test 97, loss: 3.058691, test acc: 0.088500, test avg acc: 0.050929
Train 98, loss: 2.812651, train acc: 0.146635, train avg acc: 0.095197
Test 98, loss: 3.292158, test acc: 0.050500, test avg acc: 0.055178
Train 99, loss: 2.810767, train acc: 0.152945, train avg acc: 0.100110
Test 99, loss: 3.023790, test acc: 0.097500, test avg acc: 0.052081
Train 100, loss: 2.803217, train acc: 0.155248, train avg acc: 0.100811
Test 100, loss: 3.091811, test acc: 0.075000, test avg acc: 0.061097
